Metric,Value
design__instance__count,21807
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,3775
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,130
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.004255537874996662
power__switching__total,0.006859798915684223
power__leakage__total,1.8405702917334565e-07
power__total,0.01111552119255066
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.225059
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.225059
timing__hold__ws__corner:nom_tt_025C_1v80,1.870885
timing__setup__ws__corner:nom_tt_025C_1v80,2.289541
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0.0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count,26039
design__max_fanout_violation__count,1170
design__max_cap_violation__count,1942
clock__skew__worst_hold,0.422453
clock__skew__worst_setup,0.422453
timing__hold__ws,0.888188
timing__setup__ws,-0.118285
timing__hold__tns,0.0
timing__setup__tns,-4.182666
timing__hold__wns,0.0
timing__setup__wns,-0.118285
timing__hold_vio__count,0
timing__hold_r2r_vio__count,0
timing__setup_vio__count,64
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 434.24 446.08
design__core__bbox,2.76 2.72 431.48 443.36
dffram__suggested__core_width,428.72
dffram__suggested__core_height,440.64
dffram__logic__density,0.763513
design__io,46
design__die__area,193706
design__core__area,188911
design__instance__area,161220
design__instance__count__stdcell,21807
design__instance__area__stdcell,161220
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.853415
design__instance__utilization__stdcell,0.853415
antenna__violating__nets,52
antenna__violating__pins,63
route__antenna_violations__count,52
route__net,8423
route__net__special,2
route__drc_errors__iter:1,8758
route__wirelength__iter:1,348135
route__drc_errors__iter:2,5947
route__wirelength__iter:2,347575
route__drc_errors__iter:3,5715
route__wirelength__iter:3,347366
route__drc_errors__iter:4,96
route__wirelength__iter:4,346689
route__drc_errors__iter:5,2
route__wirelength__iter:5,346659
route__drc_errors__iter:6,1
route__wirelength__iter:6,346658
route__drc_errors__iter:7,1
route__wirelength__iter:7,346658
route__drc_errors__iter:8,1
route__wirelength__iter:8,346658
route__drc_errors__iter:9,1
route__wirelength__iter:9,346658
route__drc_errors__iter:10,1
route__wirelength__iter:10,346658
route__drc_errors__iter:11,1
route__wirelength__iter:11,346660
route__drc_errors__iter:12,1
route__wirelength__iter:12,346658
route__drc_errors__iter:13,1
route__wirelength__iter:13,346658
route__drc_errors__iter:14,1
route__wirelength__iter:14,346658
route__drc_errors__iter:15,1
route__wirelength__iter:15,346658
route__drc_errors__iter:16,1
route__wirelength__iter:16,346658
route__drc_errors__iter:17,1
route__wirelength__iter:17,346658
route__drc_errors__iter:18,1
route__wirelength__iter:18,346651
route__drc_errors__iter:19,1
route__wirelength__iter:19,346654
route__drc_errors__iter:20,1
route__wirelength__iter:20,346651
